Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	
493	9	Si4b1	B4b1	313	313	1	8	333	99	96	Ba	nakarat2_2
494	8	Do5	C5	318	318	0	0	0	95	96		
495	9	Si4b1	B4b1	313	313	1	8	333	99	96	na 	
496	9	La4	A4	305	305	1	8	333	95	96		
497	9	La4	A4	305	305	1	8	333	99	96	in	
498	9	Sol4	G4	296	296	1	8	333	99	96		
499	9	Sol4	G4	296	296	1	4	667	99	96		
500	9	La4	A4	305	305	1	8	333	95	96		
501	9	Si4b1	B4b1	313	313	1	4	667	99	96	san 	
502	9	La4	A4	305	305	1	8	333	95	96		
503	9	La4	A4	305	305	1	8	333	99	96	de	
504	9	Sol4	G4	296	296	1	8	333	95	96		
505	9	Sol4	G4	296	296	5	8	1667	100	96	ğil 	
506	9	Sol4	G4	296	296	1	4	667	95	96		
507	9	La4	A4	305	305	1	8	333	99	96	ağ	
508	9	Si4b1	B4b1	313	313	1	4	667	95	96		
509	9	Do5	C5	318	318	1	8	333	99	96	lar 	
510	9	Mi5	E5	336	336	1	8	333	99	96		
511	9	Re5	D5	327	327	1	4	667	99	96		
512	9	Do5	C5	318	318	1	8	333	95	96		
513	9	Si4b1	B4b1	313	313	1	4	667	95	96	me	
514	9	Do5	C5	318	318	1	8	333	99	96	lek	
515	9	La4	A4	305	305	1	8	333	99	96		
516	9	Sol4	G4	296	296	1	8	333	95	96		
517	9	Sol4	G4	296	296	1	2	1334	95	96	ler  	
518	9			-1	-1	1	8	333	100	0		
519	9	Sol4	G4	296	296	1	4	667	95	96	SAZ	
520	9	Mi5	E5	336	336	1	8	333	95	96	.	
521	9	Re5	D5	327	327	1	8	333	95	96	.	
522	9	Do5	C5	318	318	1	8	333	95	96	.	
523	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	
524	9	Do5	C5	318	318	1	8	333	95	96	.	
525	9	Re5	D5	327	327	1	4	667	95	96	.	
526	9			-1	-1	1	8	333	100	0		
527	9			-1	-1	1	4	667	100	0		
528	9	Do5	C5	318	318	1	8	333	95	96	He	meyan_2
529	9	Re5	D5	327	327	1	4	667	95	96	ba	
530	9	Re5	D5	327	327	3	16	500	99	96	ya 	
531	9	Do5	C5	318	318	1	16	167	99	96		
532	9	Re5	D5	327	327	3	8	1000	95	96		
533	9	Mi5	E5	336	336	3	8	1000	95	96	git	
534	9	Fa5	F5	340	340	1	8	333	99	96	ti 	
535	9	Mi5	E5	336	336	1	8	333	95	96		
536	9	Re5	D5	327	327	1	8	333	99	96	hep 	
537	9	Do5	C5	318	318	1	8	333	99	96		
538	9	Re5	D5	327	327	3	8	1000	95	96		
539	9	Re5	D5	327	327	1	4	667	95	96	bun	
540	9	Do5	C5	318	318	1	8	333	99	96		
541	9	Re5	D5	327	327	1	4	667	95	96		
542	9	Mi5	E5	336	336	1	8	333	99	96	ca 	
543	9	Fa5	F5	340	340	1	8	333	99	96		
544	9	Sol5	G5	349	349	1	8	333	99	96		
545	9	Mi5	E5	336	336	1	8	333	95	96		
546	9	Re5	D5	327	327	1	8	333	99	96		
547	9	Mi5	E5	336	336	1	8	333	99	96	e	
548	9	Re5	D5	327	327	1	8	333	95	96		
549	9	Re5	D5	327	327	1	8	333	99	96	mek	
550	9	Do5	C5	318	318	1	8	333	99	96		
551	9	Re5	D5	327	327	1	8	333	95	96		
552	9	Do5	C5	318	318	1	8	333	99	96	ler  	
553	9	Si4b1	B4b1	313	313	1	16	167	99	96		
554	9	La4	A4	305	305	1	16	167	99	96		
555	9	Si4b1	B4b1	313	313	3	8	1000	95	96		
556	9			-1	-1	1	4	667	100	0		
557	9	Si4b1	B4b1	313	313	1	8	333	95	96	He	meyan_2
558	9	Do5	C5	318	318	1	4	667	95	96	ba	
559	9	Do5	C5	318	318	3	16	500	99	96	ya 	
560	9	Si4b1	B4b1	313	313	1	16	167	99	96		
561	9	Do5	C5	318	318	3	8	1000	95	96		
562	9	Re5	D5	327	327	3	8	1000	95	96	git	
563	9	Mi5	E5	336	336	1	4	667	95	96	ti 	
564	9	Fa5	F5	340	340	1	8	333	99	96	hep 	
565	9	Mi5	E5	336	336	1	8	333	99	96		
566	9	Re5	D5	327	327	1	8	333	99	96		
567	9	Do5	C5	318	318	1	8	333	99	96		
568	9	Si4b1	B4b1	313	313	1	8	333	100	96		
569	9	Si4b1	B4b1	313	313	1	4	667	95	96		
570	9	La4	A4	305	305	1	8	333	99	96	bun	
571	9	Si4b1	B4b1	313	313	1	4	667	95	96		
572	9	Do5	C5	318	318	1	8	333	99	96	ca 	
573	9	Re5	D5	327	327	1	8	333	99	96		
574	9	Mi5	E5	336	336	1	4	667	99	96		
575	9	Re5	D5	327	327	1	8	333	95	96		
576	9	Re5	D5	327	327	1	8	333	99	96	e	
577	9	Do5	C5	318	318	1	8	333	95	96		
578	9	Do5	C5	318	318	1	4	667	99	96	mek	
579	9	Re5	D5	327	327	1	8	333	95	96		
580	9	Do5	C5	318	318	1	8	333	99	96	ler  	
581	9	Si4b1	B4b1	313	313	1	16	167	99	96		
582	9	La4#4	A4#4	309	309	1	16	167	99	96		
583	9	Si4b1	B4b1	313	313	1	4	667	95	96		
584	9			-1	-1	1	8	333	100	0		
585	9			-1	-1	1	4	667	100	0		
586	9	Fa5	F5	340	340	1	8	333	95	96	SAZ	
587	9	Mi5	E5	336	336	1	8	333	95	96	.	
588	9	Re5	D5	327	327	1	8	333	95	96	.	
589	9	Do5	C5	318	318	1	8	333	95	96	.	
590	9	Si4b1	B4b1	313	313	1	16	167	95	96	.	
591	9	La4#4	A4#4	309	309	1	16	167	95	96	.	
592	9	Si4b1	B4b1	313	313	1	4	667	95	96	.	
593	9			-1	-1	1	8	333	100	0		
594	9			-1	-1	1	4	667	100	0		
595	9	Do5	C5	318	318	1	8	333	95	96	Ba	nakarat_2
596	9	Re5	D5	327	327	1	4	667	95	96	na 	
597	9	Re5	D5	327	327	1	4	667	99	96	in	
598	9	Do5	C5	318	318	1	8	333	99	96		
599	9	Si4b1	B4b1	313	313	1	8	333	99	96		
600	9	La4	A4	305	305	1	8	333	95	96		
601	9	Si4b1	B4b1	313	313	3	16	500	99	96	san 	
602	9	La4	A4	305	305	1	16	167	99	96		
603	9	Si4b1	B4b1	313	313	1	8	333	95	96		
604	9	Do5	C5	318	318	1	8	333	99	96	de	
605	9	Re5	D5	327	327	1	8	333	95	96		
606	9	Re5	D5	327	327	1	8	333	99	96	ğil 	
607	9	Do5	C5	318	318	1	8	333	99	96		
608	9	Si4b1	B4b1	313	313	1	4	667	99	96		
609	9	La4	A4	305	305	1	16	167	99	96		
610	9	Sol4	G4	296	296	1	16	167	99	96		
611	9	Sol4	G4	296	296	1	4	667	95	96		
612	9	La4	A4	305	305	1	8	333	99	96	ağ	
613	9	Si4b1	B4b1	313	313	1	4	667	95	96		
614	9	Do5	C5	318	318	1	8	333	99	96	lar 	
615	9	Mi5	E5	336	336	1	8	333	99	96		
616	9	Re5	D5	327	327	1	4	667	99	96		
617	9	Do5	C5	318	318	1	8	333	95	96		
618	9	Si4b1	B4b1	313	313	1	4	667	95	96	me	
619	9	Do5	C5	318	318	1	8	333	99	96	lek	
620	9	La4	A4	305	305	1	8	333	99	96		
621	9	Sol4	G4	296	296	1	8	333	95	96		
622	9	Sol4	G4	296	296	1	4	667	99	96	ler  	
623	9	Si4b1	B4b1	313	313	1	8	333	99	96		
624	8	Do5	C5	318	318	0	0	0	99	96		
625	9	Si4b1	B4b1	313	313	1	16	167	99	96		
626	9	La4	A4	305	305	1	16	167	99	96		
627	9	Si4b1	B4b1	313	313	1	8	333	95	96		
628	9			-1	-1	1	4	667	100	0		
629	9	Si4b1	B4b1	313	313	1	8	333	99	96	Ba	nakarat2_2
630	8	Do5	C5	318	318	0	0	0	95	96		
631	9	Si4b1	B4b1	313	313	1	8	333	99	96	na 	
632	9	La4	A4	305	305	1	8	333	95	96		
633	9	La4	A4	305	305	1	8	333	99	96	in	
634	9	Sol4	G4	296	296	1	8	333	99	96		
635	9	Sol4	G4	296	296	1	4	667	99	96		
636	9	La4	A4	305	305	1	8	333	95	96		
637	9	Si4b1	B4b1	313	313	1	4	667	99	96	san 	
638	9	La4	A4	305	305	1	8	333	95	96		
639	9	La4	A4	305	305	1	8	333	99	96	de	
640	9	Sol4	G4	296	296	1	8	333	95	96		
641	9	Sol4	G4	296	296	5	8	1667	100	96	ğil 	
642	9	Sol4	G4	296	296	1	4	667	95	96		
643	9	La4	A4	305	305	1	8	333	99	96	ağ	
644	9	Si4b1	B4b1	313	313	1	4	667	95	96		
645	9	Do5	C5	318	318	1	8	333	99	96	lar 	
646	9	Mi5	E5	336	336	1	8	333	99	96		
647	9	Re5	D5	327	327	1	4	667	99	96		
648	9	Do5	C5	318	318	1	8	333	95	96		
649	9	Si4b1	B4b1	313	313	1	4	667	95	96	me	
650	9	Do5	C5	318	318	1	8	333	99	96	lek	
651	9	La4	A4	305	305	1	8	333	99	96		
652	9	Sol4	G4	296	296	1	8	333	95	96		
653	9	Sol4	G4	296	296	1	2	1334	95	96	ler  	
654	9			-1	-1	1	8	333	100	0		
